ID,Name
USA,United States (Mainland)
US_VIRGIN_ISLANDS,United States Virgin Islands
NORTHERN_MARIANA_ISLANDS,Northern Mariana Islands
GUAM,Guam
AMERICAN_SAMOA,American Samoa
PUERTO_RICO,Puerto Rico
CANADA,Canada
BERMUDA,Bermuda
ANGUILLA,Anguilla
BRITISH_VIRGIN_ISLANDS,British Virgin Islands
CAYMAN_ISLANDS,Cayman Islands
TURKS_AND_CAICOS_ISLANDS,Turks and Caicos Islands
MONTSERRAT,Montserrat
BAHAMAS,Bahamas
BARBADOS,Barbados
ANTIGUA_AND_BARBUDA,Antigua and Barbuda
GRENADA,Grenada
SINT_MAARTEN,Sint Maarten (Dutch part)
SAINT_LUCIA,Saint Lucia
DOMINICA,Dominica
SAINT_VINCENT_AND_THE_GRENADINES,Saint Vincent and the Grenadines
TRINIDAD_AND_TOBAGO,Trinidad and Tobago
SAINT_KITTS_AND_NEVIS,Saint Kitts and Nevis
JAMAICA,Jamaica
DOMINICAN_REPUBLIC,Dominican Republic
EGYPT,Egypt
SOUTH_SUDAN,South Sudan
MOROCCO,Morocco
WESTERN_SAHARA,Western Sahara
ALGERIA,Algeria
TUNISIA,Tunisia
LIBYA,Libya
GAMBIA,Gambia
SENEGAL,Senegal
MAURITANIA,Mauritania
MALI,Mali
GUINEA,Guinea
IVORY_COAST,Ivory Coast (Côte d'Ivoire)
BURKINA_FASO,Burkina Faso
NIGER,Niger
TOGO,Togo
BENIN,Benin
MAURITIUS,Mauritius
LIBERIA,Liberia
SIERRA_LEONE,Sierra Leone
GHANA,Ghana
NIGERIA,Nigeria
CHAD,Chad
CENTRAL_AFRICAN_REPUBLIC,Central African Republic
CAMEROON,Cameroon
CAPE_VERDE,Cape Verde
SAO_TOME_AND_PRINCIPE,Sao Tome and Principe
EQUATORIAL_GUINEA,Equatorial Guinea
GABON,Gabon
REPUBLIC_OF_THE_CONGO,Republic of the Congo
DR_CONGO,Democratic Republic of the Congo
ANGOLA,Angola
GUINEA_BISSAU,Guinea-Bissau
BRITISH_INDIAN_OCEAN_TERRITORY,British Indian Ocean Territory
ASCENSION_ISLAND,Ascension Island
SEYCHELLES,Seychelles
SUDAN,Sudan
RWANDA,Rwanda
ETHIOPIA,Ethiopia
SOMALIA,Somalia
SOMALILAND,Somaliland
DJIBOUTI,Djibouti
KENYA,Kenya
TANZANIA,Tanzania
UGANDA,Uganda
BURUNDI,Burundi
MOZAMBIQUE,Mozambique
ZAMBIA,Zambia
MADAGASCAR,Madagascar
REUNION,Réunion
MAYOTTE,Mayotte
ZIMBABWE,Zimbabwe
NAMIBIA,Namibia
MALAWI,Malawi
LESOTHO,Lesotho
BOTSWANA,Botswana
ESWATINI,Eswatini
COMOROS,Comoros
SOUTH_AFRICA,South Africa
SAINT_HELENA,Saint Helena
TRISTAN_DA_CUNHA,Tristan da Cunha
ERITREA,Eritrea
ARUBA,Aruba
FAROE_ISLANDS,Faroe Islands
GREENLAND,Greenland
GREECE,Greece
NETHERLANDS,Netherlands
BELGIUM,Belgium
FRANCE,France
SPAIN,Spain
GIBRALTAR,Gibraltar
PORTUGAL,Portugal
LUXEMBOURG,Luxembourg
IRELAND,Ireland
ICELAND,Iceland
ALBANIA,Albania
MALTA,Malta
CYPRUS,Cyprus
FINLAND,Finland
ALAND_ISLANDS,Åland Islands
BULGARIA,Bulgaria
HUNGARY,Hungary
LITHUANIA,Lithuania
LATVIA,Latvia
ESTONIA,Estonia
MOLDOVA,Moldova
TRANSNISTRIA,Transnistria
ARMENIA,Armenia
BELARUS,Belarus
ANDORRA,Andorra
MONACO,Monaco
SAN_MARINO,San Marino
UKRAINE,Ukraine
SERBIA,Serbia
MONTENEGRO,Montenegro
KOSOVO,Kosovo
CROATIA,Croatia
SLOVENIA,Slovenia
BOSNIA_AND_HERZEGOVINA,Bosnia and Herzegovina
NORTH_MACEDONIA,North Macedonia
ITALY,Italy
VATICAN_CITY,Vatican City
ROMANIA,Romania
SWITZERLAND,Switzerland
CZECH_REPUBLIC,Czech Republic
SLOVAKIA,Slovakia
LIECHTENSTEIN,Liechtenstein
AUSTRIA,Austria
UNITED_KINGDOM,United Kingdom
GUERNSEY,Guernsey
JERSEY,Jersey
ISLE_OF_MAN,Isle of Man
DENMARK,Denmark
SWEDEN,Sweden
NORWAY,Norway
SVALBARD,Svalbard
JAN_MAYEN,Jan Mayen
POLAND,Poland
GERMANY,Germany
