USA,미국 본토
US_VIRGIN_ISLANDS,미국령 버진 아일랜드
NORTHERN_MARIANA_ISLANDS,북마리아나 제도
GUAM,괌
AMERICAN_SAMOA,미국령 사모아
PUERTO_RICO,푸에르토리코
CANADA,캐나다
BERMUDA,영국령 버뮤다
ANGUILLA,앵귈라
BRITISH_VIRGIN_ISLANDS,영국령 버진 아일랜드
CAYMAN_ISLANDS,케이먼 제도
TURKS_AND_CAICOS_ISLANDS,터크스 케이커스 제도
MONTSERRAT,몬트세랫
BAHAMAS,바하마
BARBADOS,바베이도스
ANTIGUA_AND_BARBUDA,앤티가 바부다
GRENADA,그레나다
SINT_MAARTEN,네덜란드령 신트마르턴
SAINT_LUCIA,세인트루시아
DOMINICA,도미니카 연방
SAINT_VINCENT_AND_THE_GRENADINES,세인트빈센트 그레나딘
TRINIDAD_AND_TOBAGO,트리니다드 토바고
SAINT_KITTS_AND_NEVIS,세인트키츠 네비스
JAMAICA,자메이카
DOMINICAN_REPUBLIC,도미니카 공화국
EGYPT,이집트
SOUTH_SUDAN,남수단
MOROCCO,모로코
WESTERN_SAHARA,서사하라
ALGERIA,알제리
TUNISIA,튀니지
LIBYA,리비아
GAMBIA,감비아
SENEGAL,세네갈
MAURITANIA,모리타니
MALI,말리
GUINEA,기니
IVORY_COAST,코트디부아르
BURKINA_FASO,부르키나파소
NIGER,니제르
TOGO,토고
BENIN,베냉
MAURITIUS,모리셔스
LIBERIA,라이베리아
SIERRA_LEONE,시시에라리온
GHANA,가나
NIGERIA,나이지리아
CHAD,차드
CENTRAL_AFRICAN_REPUBLIC,중앙아프리카공화국
CAMEROON,카메룬
CAPE_VERDE,카보베르데
SAO_TOME_AND_PRINCIPE,상투메 프린시페
EQUATORIAL_GUINEA,적도 기니
GABON,가봉
REPUBLIC_OF_THE_CONGO,콩고 공화국
DR_CONGO,콩고민주공화국
ANGOLA,앙골라
GUINEA_BISSAU,기니비사우
BRITISH_INDIAN_OCEAN_TERRITORY,영국령 인도양 지역
ASCENSION_ISLAND,어센션 섬
SEYCHELLES,세이셸
SUDAN,수단
RWANDA,르완다
